date,time,event,value
Nov-14-2021,00:57:49,Stop,60.42
Nov-15-2021,14:50:59,Stop,48.64
Nov-16-2021,00:36:46,Stop,96.95
Nov-18-2021,02:00:07,Idle,64.37
Nov-19-2021,11:58:53,Stop,77.43
Nov-20-2021,18:24:56,Stop,94.27
Nov-21-2021,11:12:27,Idle,63.24
Nov-22-2021,00:50:05,Run,11.09
Nov-23-2021,07:03:04,Measure,13.09
Nov-24-2021,21:27:38,Run,73.21
Nov-25-2021,22:03:51,Start,35.12
Nov-26-2021,03:46:58,Idle,62.14
Nov-27-2021,20:36:55,Idle,28.2
Nov-28-2021,08:01:58,Stop,34.32
Nov-29-2021,06:48:15,Stop,55.42
Dec-01-2021,16:19:57,Start,97.8
Dec-02-2021,22:33:10,Stop,65.46
Dec-04-2021,01:32:25,Alert,94.25
Dec-05-2021,01:22:40,Stop,96.34
Dec-06-2021,21:57:33,Stop,28.73
Dec-07-2021,14:09:14,Alert,38.01
Dec-08-2021,09:28:56,Start,79.3
Dec-09-2021,22:58:16,Alert,88.01
Dec-10-2021,08:49:35,Idle,56.73
Dec-11-2021,08:15:35,Alert,99.39
Dec-12-2021,15:50:32,Measure,11.04
Dec-13-2021,22:30:05,Idle,36.96
Dec-14-2021,09:15:03,Stop,66.08
Dec-15-2021,21:21:12,Idle,52.24
Dec-16-2021,15:51:28,Start,20.49
Dec-17-2021,05:25:10,Start,43.1
Dec-18-2021,23:28:02,Alert,12.29
Dec-19-2021,19:09:59,Idle,67.85
Dec-21-2021,00:51:42,Stop,90.35
Dec-22-2021,11:13:24,Start,89.64
Dec-23-2021,07:42:03,Run,72.96
Dec-24-2021,06:09:50,Stop,51.92
Dec-25-2021,03:01:25,Run,56.08
Dec-26-2021,20:49:13,Measure,22.32
Dec-27-2021,15:53:42,Run,40.69
Dec-28-2021,09:16:45,Start,26.9
Dec-29-2021,21:03:18,Alert,83.91
Dec-31-2021,01:38:08,Measure,92.33
Jan-01-2022,18:15:53,Idle,58.32
Jan-02-2022,15:17:22,Stop,75.5
Jan-03-2022,20:20:10,Start,20.93
Jan-04-2022,06:40:03,Measure,64.77
Jan-05-2022,12:58:25,Measure,73.25
Jan-06-2022,03:50:33,Start,50.75
Jan-07-2022,08:11:01,Idle,31.89
Jan-08-2022,05:04:04,Idle,88.96
Jan-09-2022,19:21:04,Alert,76.86
Jan-10-2022,03:08:28,Run,90.99
Jan-11-2022,21:26:09,Idle,83.66
Jan-12-2022,15:41:41,Alert,99.13
Jan-13-2022,18:09:05,Run,27.3
Jan-14-2022,16:04:57,Measure,17.81
Jan-15-2022,05:58:55,Start,40.33
Jan-16-2022,14:24:58,Idle,21.61
Jan-18-2022,18:49:03,Alert,57.08
Jan-19-2022,07:58:47,Measure,66.97
Jan-20-2022,23:50:51,Idle,62.05
Jan-21-2022,02:09:33,Stop,33.33
Jan-22-2022,03:05:42,Measure,91.79
Jan-23-2022,13:15:58,Idle,11.91
Jan-24-2022,20:18:33,Measure,41.32
Jan-25-2022,16:40:16,Start,74.71
Jan-26-2022,14:29:38,Start,79.02
Jan-27-2022,21:54:30,Start,47.45
Jan-28-2022,18:34:28,Run,11.52
Jan-29-2022,00:03:27,Stop,65.62
Jan-30-2022,17:25:39,Start,15.68
Jan-31-2022,18:54:54,Stop,19.71
Feb-01-2022,05:00:07,Start,68.52
Feb-03-2022,00:50:42,Run,38.12
Feb-04-2022,20:23:24,Measure,41.32
Feb-05-2022,14:54:56,Idle,53.81
Feb-06-2022,10:18:28,Idle,98.07
Feb-07-2022,20:09:55,Start,96.89
Feb-09-2022,11:32:55,Idle,47.46
Feb-10-2022,06:16:57,Start,33.89
Feb-12-2022,09:30:59,Start,37.23
Feb-13-2022,05:16:49,Alert,34.19
Feb-16-2022,04:17:25,Alert,57.9
Feb-17-2022,16:53:15,Alert,64.62
Feb-18-2022,07:23:12,Stop,53.99
Feb-19-2022,23:15:10,Alert,46.72
Feb-20-2022,05:58:34,Start,29.02
Feb-21-2022,00:17:36,Run,53.43
Feb-22-2022,12:09:36,Run,40.7
Feb-23-2022,13:16:00,Measure,58.74
Feb-24-2022,01:38:09,Alert,70.77
Feb-25-2022,19:06:55,Run,67.0
Feb-26-2022,15:36:28,Alert,51.62
Feb-27-2022,11:16:47,Measure,60.04
Feb-28-2022,19:25:47,Run,35.64
Mar-01-2022,18:57:46,Start,12.18
Mar-03-2022,11:20:41,Stop,66.25
Mar-04-2022,21:33:06,Alert,32.73
Mar-05-2022,12:34:14,Run,70.21
Mar-06-2022,00:25:34,Run,77.23
Mar-07-2022,09:58:58,Measure,92.43
Mar-08-2022,14:21:58,Start,96.23
Mar-09-2022,05:51:14,Idle,10.95
Mar-10-2022,23:20:06,Run,99.13
Mar-11-2022,20:58:04,Stop,71.47
Mar-12-2022,03:21:17,Measure,67.92
Mar-13-2022,02:16:49,Run,11.37
Mar-14-2022,17:55:23,Run,87.51
Mar-15-2022,01:12:53,Measure,23.09
Mar-17-2022,14:04:02,Measure,85.36
Mar-18-2022,04:36:36,Alert,11.4
Mar-19-2022,02:34:51,Run,68.14
Mar-20-2022,22:59:27,Idle,49.13
Mar-21-2022,17:57:51,Stop,28.07
Mar-22-2022,03:32:25,Start,19.68
Mar-23-2022,15:39:16,Start,49.61
Mar-24-2022,07:06:56,Idle,21.1
Mar-25-2022,07:52:55,Measure,53.78
Mar-27-2022,11:47:30,Measure,66.27
Mar-28-2022,11:18:09,Measure,84.46
Mar-29-2022,06:11:19,Run,71.08
Mar-30-2022,04:47:40,Measure,15.87
Mar-31-2022,06:51:53,Measure,37.67
Apr-01-2022,13:10:06,Run,35.92
Apr-02-2022,09:28:08,Run,92.35
Apr-03-2022,03:47:09,Idle,88.1
Apr-04-2022,18:55:30,Alert,43.31
Apr-05-2022,16:08:44,Run,16.4
Apr-06-2022,00:33:44,Stop,90.47
Apr-07-2022,23:08:06,Measure,89.94
Apr-08-2022,15:18:38,Alert,86.93
Apr-09-2022,05:49:50,Start,86.06
Apr-10-2022,10:11:57,Idle,53.22
Apr-12-2022,09:12:11,Alert,25.97
Apr-13-2022,20:09:19,Run,52.97
Apr-14-2022,17:35:27,Measure,54.51
Apr-15-2022,23:04:36,Measure,54.09
Apr-16-2022,11:57:34,Measure,58.49
Apr-17-2022,07:53:01,Alert,33.19
Apr-19-2022,17:40:44,Measure,42.96
Apr-21-2022,06:41:08,Run,49.08
Apr-22-2022,21:46:04,Alert,21.8
Apr-23-2022,11:00:43,Measure,50.98
Apr-24-2022,21:37:50,Start,82.94
Apr-25-2022,18:15:30,Start,84.53
Apr-26-2022,18:02:22,Stop,47.04
Apr-27-2022,09:58:17,Measure,56.69
Apr-28-2022,12:57:17,Measure,13.03
Apr-29-2022,02:57:59,Alert,70.7
Apr-30-2022,22:02:54,Alert,46.41
May-01-2022,11:26:51,Measure,50.09
May-02-2022,06:24:23,Stop,88.63
May-03-2022,07:08:45,Measure,51.57
May-04-2022,04:29:52,Run,11.91
May-05-2022,18:52:15,Alert,30.47
May-07-2022,23:43:20,Measure,52.81
May-08-2022,03:39:38,Alert,48.2
May-09-2022,14:05:04,Measure,87.43
May-11-2022,13:52:44,Idle,58.79
May-12-2022,09:49:03,Alert,72.07
May-13-2022,07:23:10,Stop,52.24
May-14-2022,16:49:20,Idle,49.57
May-15-2022,10:47:43,Run,50.17
May-16-2022,12:26:15,Measure,46.98
May-17-2022,22:25:52,Run,58.47
May-18-2022,00:30:47,Alert,32.54
May-19-2022,14:05:43,Idle,90.19
May-20-2022,07:06:33,Run,39.98
May-22-2022,11:52:13,Stop,23.28
May-23-2022,15:42:51,Alert,18.69
May-24-2022,08:09:16,Idle,11.21
May-25-2022,11:05:18,Run,48.06
May-26-2022,10:40:52,Idle,26.88
May-27-2022,05:58:24,Idle,11.95
May-29-2022,23:24:15,Run,56.8
May-30-2022,19:15:05,Start,71.2
May-31-2022,04:20:03,Measure,17.72
Jun-01-2022,01:27:37,Alert,51.48
Jun-02-2022,08:27:16,Alert,76.93
Jun-03-2022,13:06:21,Alert,98.72
Jun-04-2022,18:00:28,Idle,70.05
Jun-05-2022,19:30:29,Run,32.04
Jun-06-2022,14:17:34,Measure,74.49
Jun-07-2022,17:29:33,Stop,63.81
Jun-08-2022,09:10:26,Alert,29.06
Jun-09-2022,23:34:38,Run,86.6
Jun-10-2022,07:50:17,Measure,48.47
Jun-11-2022,12:44:23,Measure,96.58
Jun-12-2022,18:22:11,Start,75.06
Jun-13-2022,16:29:30,Run,68.01
Jun-14-2022,21:43:27,Alert,75.55
Jun-15-2022,12:24:43,Idle,53.03
Jun-17-2022,18:45:06,Measure,55.47
Jun-18-2022,12:05:23,Measure,86.61
Jun-19-2022,18:18:35,Stop,71.28
Jun-20-2022,18:08:47,Start,90.75
Jun-21-2022,03:37:39,Measure,90.17
Jun-22-2022,23:47:04,Measure,97.88
Jun-23-2022,20:53:41,Idle,73.02
Jun-24-2022,22:44:25,Idle,55.21
Jun-25-2022,13:38:28,Stop,24.97
Jun-26-2022,19:05:06,Run,73.48
Jun-27-2022,04:52:17,Stop,36.24
Jun-28-2022,22:43:37,Stop,35.47
Jun-29-2022,00:03:50,Idle,31.45
Jun-30-2022,11:46:34,Run,88.76
Jul-01-2022,22:26:59,Idle,88.12
Jul-02-2022,19:59:07,Start,66.79
Jul-03-2022,10:15:40,Alert,52.57
Jul-04-2022,02:31:04,Alert,70.49
Jul-05-2022,19:13:59,Start,64.65
Jul-06-2022,14:05:58,Alert,47.42
Jul-07-2022,03:39:50,Run,44.17
Jul-08-2022,04:12:31,Idle,44.45
Jul-09-2022,15:00:12,Alert,63.02
Jul-10-2022,21:10:52,Run,68.29
Jul-11-2022,07:24:39,Idle,50.66
Jul-12-2022,23:27:13,Run,97.18
Jul-13-2022,12:02:35,Start,17.55
Jul-14-2022,19:46:14,Stop,41.23
Jul-15-2022,20:44:40,Start,47.72
Jul-16-2022,09:43:45,Alert,11.52
Jul-17-2022,00:45:13,Idle,42.85
Jul-18-2022,07:47:13,Run,34.63
Jul-19-2022,00:15:17,Alert,55.54
Jul-20-2022,06:14:23,Alert,40.28
Jul-21-2022,16:50:54,Stop,75.36
Jul-22-2022,12:08:55,Alert,55.89
Jul-23-2022,23:14:56,Stop,21.68
Jul-24-2022,02:23:32,Idle,77.51
Jul-25-2022,15:07:28,Idle,18.93
Jul-26-2022,22:44:30,Run,85.51
Jul-27-2022,07:48:53,Stop,93.83
Jul-28-2022,22:13:58,Start,39.02
Jul-29-2022,20:29:52,Idle,93.35
Jul-30-2022,06:26:46,Run,81.37
Jul-31-2022,15:50:05,Start,93.02
Aug-01-2022,22:32:43,Idle,69.96
Aug-02-2022,17:15:11,Idle,31.21
Aug-03-2022,19:44:39,Run,90.51
Aug-04-2022,21:32:57,Run,26.58
Aug-05-2022,20:38:46,Measure,29.18
Aug-06-2022,21:44:12,Alert,34.4
Aug-07-2022,08:23:14,Alert,37.38
Aug-08-2022,03:12:26,Start,56.3
Aug-09-2022,11:36:06,Alert,74.21
Aug-10-2022,07:36:40,Start,93.36
Aug-11-2022,13:57:11,Idle,17.96
Aug-12-2022,03:51:39,Measure,95.89
Aug-14-2022,16:39:52,Measure,92.92
Aug-16-2022,00:51:33,Idle,14.86
Aug-17-2022,03:23:20,Run,42.43
Aug-18-2022,00:06:00,Stop,83.18
Aug-19-2022,08:02:43,Stop,65.04
Aug-20-2022,18:14:30,Alert,80.12
Aug-21-2022,21:15:09,Run,74.71
Aug-22-2022,21:28:58,Start,54.71
Aug-23-2022,05:28:16,Measure,13.71
Aug-24-2022,20:59:21,Alert,62.58
Aug-25-2022,23:16:20,Idle,14.37
Aug-26-2022,18:49:10,Run,64.34
Aug-27-2022,23:06:41,Measure,82.04
Aug-28-2022,06:04:43,Start,62.65
Aug-29-2022,15:56:20,Start,99.73
Aug-30-2022,17:34:19,Stop,51.03
Aug-31-2022,14:04:12,Alert,77.39
Sep-01-2022,18:11:54,Idle,70.05
Sep-03-2022,20:36:05,Measure,99.23
Sep-04-2022,06:25:41,Start,74.19
Sep-05-2022,15:07:08,Measure,24.76
Sep-06-2022,03:20:30,Idle,96.0
Sep-07-2022,20:39:24,Measure,70.1
Sep-08-2022,06:14:52,Alert,15.34
Sep-09-2022,02:48:42,Stop,69.18
Sep-10-2022,08:36:56,Measure,89.48
Sep-11-2022,09:46:27,Run,61.93
Sep-12-2022,13:03:52,Stop,41.86
Sep-13-2022,19:33:11,Idle,83.88
Sep-14-2022,00:23:19,Stop,80.43
Sep-15-2022,04:37:29,Measure,58.98
Sep-16-2022,23:42:39,Measure,23.89
Sep-17-2022,06:35:37,Run,32.59
Sep-18-2022,15:51:14,Start,76.46
Sep-19-2022,13:22:11,Run,82.55
Sep-20-2022,11:47:14,Measure,35.13
Sep-21-2022,12:42:48,Stop,43.12
Sep-23-2022,20:14:13,Run,16.99
Sep-24-2022,09:43:15,Run,74.21
Sep-25-2022,14:41:03,Start,10.32
Sep-26-2022,22:28:40,Measure,14.19
Sep-27-2022,20:51:08,Measure,10.39
Sep-28-2022,20:56:55,Idle,68.08
Sep-29-2022,19:42:42,Start,47.56
Oct-01-2022,06:52:41,Idle,36.78
Oct-02-2022,03:04:04,Idle,92.14
Oct-03-2022,10:40:27,Idle,27.35
Oct-04-2022,15:40:53,Alert,45.04
Oct-05-2022,03:01:45,Idle,94.63
Oct-06-2022,02:49:20,Run,48.44
Oct-07-2022,05:42:52,Stop,59.92
Oct-08-2022,17:43:04,Run,17.23
Oct-09-2022,08:19:27,Run,81.11
Oct-10-2022,17:18:02,Measure,48.05
Oct-11-2022,08:35:30,Alert,82.05
Oct-12-2022,16:16:54,Idle,32.84
Oct-14-2022,22:33:40,Measure,48.02
Oct-15-2022,08:04:14,Start,80.79
Oct-16-2022,14:02:18,Start,97.65
Oct-17-2022,02:37:03,Measure,15.37
Oct-19-2022,23:30:44,Stop,83.12
Oct-20-2022,12:58:10,Measure,37.06
Oct-21-2022,04:00:08,Measure,59.57
Oct-23-2022,16:53:00,Alert,36.11
Oct-24-2022,02:46:25,Start,65.21
Oct-25-2022,20:30:25,Start,41.84
Oct-26-2022,22:29:09,Idle,40.03
Oct-27-2022,07:43:24,Run,13.41
Oct-28-2022,21:14:58,Measure,23.23
Oct-29-2022,08:55:56,Measure,92.54
Oct-30-2022,09:19:40,Stop,99.84
Oct-31-2022,14:22:52,Start,80.25
Nov-01-2022,20:00:01,Stop,35.81
Nov-02-2022,18:13:07,Alert,46.22
Nov-03-2022,05:11:25,Idle,76.56
Nov-04-2022,14:45:52,Stop,97.17
Nov-05-2022,00:59:42,Start,50.99
Nov-06-2022,02:50:17,Alert,84.66
Nov-07-2022,19:59:33,Measure,97.76
Nov-08-2022,06:07:18,Alert,88.61
Nov-09-2022,21:46:41,Run,30.44
Nov-11-2022,21:28:32,Stop,10.72
Nov-12-2022,05:44:45,Start,54.29
Nov-13-2022,02:42:02,Stop,57.82
Nov-14-2022,18:09:26,Measure,28.11
Nov-15-2022,14:10:46,Measure,35.62
Nov-16-2022,23:12:31,Start,78.86
Nov-17-2022,04:03:12,Run,52.33
Nov-18-2022,08:56:48,Idle,38.56
Nov-19-2022,01:55:36,Alert,66.04
Nov-20-2022,15:06:00,Alert,68.75
Nov-21-2022,11:20:10,Measure,79.25
Nov-22-2022,11:50:57,Stop,24.1
Nov-23-2022,11:43:13,Stop,76.74
Nov-24-2022,01:33:24,Run,63.95
Nov-25-2022,03:51:54,Idle,15.18
Nov-26-2022,15:09:44,Stop,79.97
Nov-27-2022,01:34:18,Alert,44.48
Nov-28-2022,05:18:58,Stop,39.73
Nov-29-2022,20:51:50,Idle,50.33
Nov-30-2022,07:13:09,Alert,41.16
Dec-01-2022,02:37:28,Stop,40.45
Dec-02-2022,14:22:22,Alert,82.73
Dec-03-2022,17:45:18,Measure,21.21
Dec-04-2022,09:46:03,Measure,97.35
Dec-05-2022,22:01:02,Run,59.94
Dec-06-2022,06:54:15,Measure,26.46
Dec-08-2022,09:18:27,Stop,21.81
Dec-09-2022,16:27:18,Idle,63.24
Dec-10-2022,04:22:19,Alert,66.97
Dec-11-2022,12:12:42,Start,14.77
Dec-12-2022,10:47:14,Measure,31.87
Dec-14-2022,16:53:49,Measure,81.59
Dec-15-2022,18:03:21,Start,14.47
Dec-16-2022,21:54:36,Start,86.96
Dec-17-2022,06:33:32,Stop,69.23
Dec-18-2022,11:41:39,Alert,49.1
Dec-20-2022,00:11:01,Measure,41.18
Dec-21-2022,09:21:16,Idle,11.73
Dec-23-2022,02:06:43,Stop,84.27
Dec-24-2022,07:19:11,Stop,22.84
Dec-25-2022,02:16:27,Idle,37.86
Dec-26-2022,08:09:21,Idle,61.22
Dec-27-2022,05:56:32,Run,32.14
Dec-28-2022,21:43:36,Idle,54.74
Dec-29-2022,12:26:14,Start,82.84
Dec-30-2022,21:29:42,Measure,52.35
Dec-31-2022,07:36:33,Run,95.41
